;?????: 0;????? : 1
00:00:00,056,600;-0,3979;-1,9116
00:00:00,056,700;-0,3784;-1,792
00:00:00,056,800;-0,3882;-1,6919
00:00:00,056,900;-0,3979;-1,582
00:00:00,057,000;-0,3784;-1,4624
00:00:00,057,100;-0,3979;-1,333
00:00:00,057,200;-0,3882;-1,2231
00:00:00,057,300;-0,3784;-1,1035
00:00:00,057,400;-0,3882;-0,9937
00:00:00,057,500;-0,3784;-0,8643
00:00:00,057,600;-0,3687;-0,7471
00:00:00,057,700;-0,3784;-0,647
00:00:00,057,800;-0,3369;-0,5078
00:00:00,057,900;-0,3687;-0,3979
00:00:00,058,000;-0,3369;-0,2686
00:00:00,058,100;-0,3271;-0,1392
00:00:00,058,200;-0,3271;-0,0098
00:00:00,058,300;-0,3369;0,0806
00:00:00,058,400;-0,3076;0,2197
00:00:00,058,500;-0,2881;0,3394
00:00:00,058,600;-0,2783;0,4492
00:00:00,058,700;-0,2881;0,5688
00:00:00,058,800;-0,2588;0,6885
00:00:00,058,900;-0,2686;0,7959
00:00:00,059,000;-0,2686;0,8862
00:00:00,059,100;-0,1489;0,9961
00:00:00,059,200;-0,0781;1,0864
00:00:00,059,300;0,0293;1,1743
00:00:00,059,400;0,0708;1,2744
00:00:00,059,500;0,1196;1,3452
00:00:00,059,600;0,1587;1,4331
00:00:00,059,700;0,1807;1,5137
00:00:00,059,800;0,2197;1,5723
00:00:00,059,900;0,2295;1,6528
00:00:00,060,000;0,2588;1,7114
00:00:00,060,100;0,2588;1,7725
00:00:00,060,200;0,2686;1,8408
00:00:00,060,300;0,2881;1,9116
00:00:00,060,400;0,2881;1,9824
00:00:00,060,500;0,2881;2,0117
00:00:00,060,600;0,3101;2,0898
00:00:00,060,700;0,3198;2,1313
00:00:00,060,800;0,3394;2,1899
00:00:00,060,900;0,3296;2,251
00:00:00,061,000;0,3394;2,3193
00:00:00,061,100;0,3491;2,3486
00:00:00,061,200;0,3491;2,4194
00:00:00,061,300;0,3589;2,4683
00:00:00,061,400;0,3784;2,5195
00:00:00,061,500;0,3589;2,5684
00:00:00,061,600;0,3882;2,6392
00:00:00,061,700;0,3687;2,6978
00:00:00,061,800;0,3882;2,7686
00:00:00,061,900;0,3979;2,8467
00:00:00,062,000;0,4175;2,8784
00:00:00,062,100;0,4395;2,937
00:00:00,062,200;0,4297;2,9858
00:00:00,062,300;0,4395;3,0469
00:00:00,062,400;0,4688;3,1055
00:00:00,062,500;0,4395;3,1763
00:00:00,062,600;0,4688;3,2153
00:00:00,062,700;0,4492;3,2666
00:00:00,062,800;0,4785;3,3154
00:00:00,062,900;0,4883;3,3643
00:00:00,063,000;0,4785;3,4155
00:00:00,063,100;0,4785;3,4741
00:00:00,063,200;0,4785;3,5132
00:00:00,063,300;0,4688;3,5547
00:00:00,063,400;0,4883;3,6035
00:00:00,063,500;0,4883;3,6426
00:00:00,063,600;0,5078;3,6743
00:00:00,063,700;0,4883;3,7134
00:00:00,063,800;0,498;3,7427
00:00:00,063,900;0,4883;3,7524
00:00:00,064,000;0,498;3,7622
00:00:00,064,100;0,498;3,7842
00:00:00,064,200;0,498;3,7939
00:00:00,064,300;0,4883;3,7842
00:00:00,064,400;0,5078;3,7622
00:00:00,064,500;0,4785;3,7524
00:00:00,064,600;0,4688;3,7134
00:00:00,064,700;0,4785;3,6426
00:00:00,064,800;0,498;3,5449
00:00:00,064,900;0,4785;3,4839
00:00:00,065,000;0,4883;3,4253
00:00:00,065,100;0,4883;3,3447
00:00:00,065,200;0,4785;3,2544
00:00:00,065,300;0,4785;3,186
00:00:00,065,400;0,4492;3,0859
00:00:00,065,500;0,459;2,9761
00:00:00,065,600;0,4492;2,9077
00:00:00,065,700;0,4395;2,7881
00:00:00,065,800;0,459;2,7173
00:00:00,065,900;0,4297;2,6074
00:00:00,066,000;0,4297;2,5293
00:00:00,066,100;0,4175;2,4292
00:00:00,066,200;0,4077;2,3389
00:00:00,066,300;0,3882;2,2314
00:00:00,066,400;0,4077;2,1313
00:00:00,066,500;0,3784;2,0215
00:00:00,066,600;0,4175;1,9116
00:00:00,066,700;0,3882;1,8018
00:00:00,066,800;0,3882;1,6821
00:00:00,066,900;0,3687;1,5723
00:00:00,067,000;0,3882;1,4526
00:00:00,067,100;0,3687;1,3354
00:00:00,067,200;0,3882;1,2158
00:00:00,067,300;0,3882;1,0864
00:00:00,067,400;0,3882;0,9863
00:00:00,067,500;0,3882;0,8472
00:00:00,067,600;0,3882;0,7471
00:00:00,067,700;0,4077;0,6079
00:00:00,067,800;0,3882;0,4883
00:00:00,067,900;0,4077;0,3784
00:00:00,068,000;0,4077;0,2686
00:00:00,068,100;0,3882;0,1294
00:00:00,068,200;0,4077;0,0098
00:00:00,068,300;0,3979;-0,1001
00:00:00,068,400;0,3979;-0,2393
00:00:00,068,500;0,4077;-0,3467
00:00:00,068,600;0,4297;-0,4468
00:00:00,068,700;0,4395;-0,5762
00:00:00,068,800;0,4395;-0,6665
00:00:00,068,900;0,4175;-0,7959
00:00:00,069,000;0,4077;-0,896
00:00:00,069,100;0,3198;-0,9741
00:00:00,069,200;0,2393;-1,1035
00:00:00,069,300;0,0806;-1,2036
00:00:00,069,400;0,0513;-1,2939
00:00:00,069,500;0,0098;-1,4038
00:00:00,069,600;0;-1,4722
00:00:00,069,700;-0,0391;-1,5332
00:00:00,069,800;-0,0488;-1,5918
00:00:00,069,900;-0,0781;-1,6626
00:00:00,070,000;-0,1001;-1,7114
00:00:00,070,100;-0,1099;-1,7822
00:00:00,070,200;-0,1392;-1,8311
00:00:00,070,300;-0,1685;-1,9116
00:00:00,070,400;-0,1685;-1,9604
00:00:00,070,500;-0,2075;-2,0288
00:00:00,070,600;-0,2173;-2,0801
00:00:00,070,700;-0,2295;-2,1606
00:00:00,070,800;-0,2393;-2,1997
00:00:00,070,900;-0,2686;-2,2583
00:00:00,071,000;-0,2979;-2,3096
00:00:00,071,100;-0,2979;-2,3682
00:00:00,071,200;-0,3174;-2,4292
00:00:00,071,300;-0,3687;-2,478
00:00:00,071,400;-0,3589;-2,5488
00:00:00,071,500;-0,3882;-2,5977
00:00:00,071,600;-0,4077;-2,6465
00:00:00,071,700;-0,3979;-2,7271
00:00:00,071,800;-0,4077;-2,7759
00:00:00,071,900;-0,437;-2,8369
00:00:00,072,000;-0,437;-2,876
00:00:00,072,100;-0,4272;-2,937
00:00:00,072,200;-0,4175;-2,9761
00:00:00,072,300;-0,4468;-3,0347
00:00:00,072,400;-0,4468;-3,0957
00:00:00,072,500;-0,4272;-3,1445
00:00:00,072,600;-0,4175;-3,1836
00:00:00,072,700;-0,437;-3,2446
00:00:00,072,800;-0,437;-3,3032
00:00:00,072,900;-0,4272;-3,3643
00:00:00,073,000;-0,4468;-3,4131
00:00:00,073,100;-0,4077;-3,4644
00:00:00,073,200;-0,3882;-3,5132
00:00:00,073,300;-0,3784;-3,5522
00:00:00,073,400;-0,3979;-3,5938
00:00:00,073,500;-0,3882;-3,6426
00:00:00,073,600;-0,3687;-3,6816
00:00:00,073,700;-0,3882;-3,7134
00:00:00,073,800;-0,3589;-3,7329
00:00:00,073,900;-0,3687;-3,7524
00:00:00,074,000;-0,3467;-3,7524
00:00:00,074,100;-0,3467;-3,772
00:00:00,074,200;-0,3687;-3,7817
00:00:00,074,300;-0,3467;-3,772
00:00:00,074,400;-0,3369;-3,7622
00:00:00,074,500;-0,3687;-3,7524
00:00:00,074,600;-0,3589;-3,7231
00:00:00,074,700;-0,3467;-3,6523
00:00:00,074,800;-0,3369;-3,562
00:00:00,074,900;-0,3467;-3,4937
00:00:00,075,000;-0,3271;-3,4229
00:00:00,075,100;-0,3467;-3,3545
00:00:00,075,200;-0,3467;-3,2739
00:00:00,075,300;-0,3369;-3,1958
00:00:00,075,400;-0,3589;-3,0957
00:00:00,075,500;-0,3467;-3,0151
00:00:00,075,600;-0,3784;-2,9053
00:00:00,075,700;-0,3687;-2,8174
00:00:00,075,800;-0,3589;-2,7271
00:00:00,075,900;-0,3687;-2,6172
00:00:00,076,000;-0,3687;-2,5366
00:00:00,076,100;-0,3687;-2,439
00:00:00,076,200;-0,3882;-2,3389
00:00:00,076,300;-0,3882;-2,2388
00:00:00,076,400;-0,3784;-2,1387
00:00:00,076,500;-0,3882;-2,041
00:00:00,076,600;-0,3882;-1,9312
00:00:00,076,700;-0,4077;-1,8213
00:00:00,076,800;-0,4077;-1,7017
00:00:00,076,900;-0,3979;-1,5918
00:00:00,077,000;-0,3979;-1,4624
00:00:00,077,100;-0,3882;-1,3428
00:00:00,077,200;-0,3979;-1,2329
00:00:00,077,300;-0,3979;-1,1353
00:00:00,077,400;-0,3979;-0,9839
00:00:00,077,500;-0,3784;-0,8862
00:00:00,077,600;-0,3589;-0,7568
00:00:00,077,700;-0,3784;-0,647
00:00:00,077,800;-0,3687;-0,5078
00:00:00,077,900;-0,3589;-0,3979
00:00:00,078,000;-0,3467;-0,2588
00:00:00,078,100;-0,3467;-0,1587
00:00:00,078,200;-0,3271;-0,0293
00:00:00,078,300;-0,3271;0,1001
00:00:00,078,400;-0,3076;0,21
00:00:00,078,500;-0,3271;0,3296
00:00:00,078,600;-0,3076;0,459
00:00:00,078,700;-0,3076;0,5591
00:00:00,078,800;-0,2783;0,6885
00:00:00,078,900;-0,3076;0,7764
00:00:00,079,000;-0,2783;0,8862
00:00:00,079,100;-0,1782;0,9766
00:00:00,079,200;-0,0879;1,0864
00:00:00,079,300;0,0415;1,1743
00:00:00,079,400;0,0903;1,2646
00:00:00,079,500;0,1294;1,3452
00:00:00,079,600;0,1489;1,4331
00:00:00,079,700;0,1709;1,4844
00:00:00,079,800;0,1904;1,5723
00:00:00,079,900;0,2197;1,6431
00:00:00,080,000;0,2295;1,7236
00:00:00,080,100;0,2588;1,7725
00:00:00,080,200;0,2686;1,8311
00:00:00,080,300;0,2783;1,8726
00:00:00,080,400;0,2881;1,9507
00:00:00,080,500;0,2686;2,0117
00:00:00,080,600;0,2881;2,0703
00:00:00,080,700;0,3003;2,1313
00:00:00,080,800;0,3394;2,1997
00:00:00,080,900;0,3198;2,251
00:00:00,081,000;0,3198;2,2998
00:00:00,081,100;0,3394;2,3486
00:00:00,081,200;0,3491;2,4097
00:00:00,081,300;0,3491;2,4585
00:00:00,081,400;0,3589;2,5195
00:00:00,081,500;0,3589;2,5586
00:00:00,081,600;0,3784;2,6392
00:00:00,081,700;0,3882;2,688
00:00:00,081,800;0,3979;2,7783
00:00:00,081,900;0,3979;2,8076
00:00:00,082,000;0,4077;2,8882
00:00:00,082,100;0,4077;2,9272
00:00:00,082,200;0,4077;2,9858
00:00:00,082,300;0,459;3,0469
00:00:00,082,400;0,4395;3,0859
00:00:00,082,500;0,4297;3,147
00:00:00,082,600;0,459;3,2056
00:00:00,082,700;0,4395;3,2666
00:00:00,082,800;0,4688;3,3252
00:00:00,082,900;0,4785;3,3838
00:00:00,083,000;0,4688;3,4253
00:00:00,083,100;0,4688;3,4839
00:00:00,083,200;0,4883;3,5352
00:00:00,083,300;0,4688;3,5449
00:00:00,083,400;0,5078;3,6133
00:00:00,083,500;0,4883;3,6426
00:00:00,083,600;0,498;3,6841
00:00:00,083,700;0,498;3,7036
00:00:00,083,800;0,5176;3,7524
00:00:00,083,900;0,498;3,7524
00:00:00,084,000;0,498;3,7842
00:00:00,084,100;0,498;3,7842
00:00:00,084,200;0,498;3,772
00:00:00,084,300;0,498;3,772
00:00:00,084,400;0,4883;3,772
00:00:00,084,500;0,4785;3,7524
00:00:00,084,600;0,4883;3,7329
00:00:00,084,700;0,4688;3,6328
00:00:00,084,800;0,4688;3,5449
00:00:00,084,900;0,4785;3,4937
00:00:00,085,000;0,4688;3,4253
00:00:00,085,100;0,459;3,3447
00:00:00,085,200;0,4883;3,2861
00:00:00,085,300;0,4492;3,1763
00:00:00,085,400;0,4492;3,1055
00:00:00,085,500;0,4492;3,0078
00:00:00,085,600;0,459;2,9175
00:00:00,085,700;0,4492;2,8271
00:00:00,085,800;0,4297;2,7173
00:00:00,085,900;0,4175;2,6294
00:00:00,086,000;0,4175;2,5391
00:00:00,086,100;0,4077;2,4292
00:00:00,086,200;0,4175;2,3389
00:00:00,086,300;0,4175;2,2412
00:00:00,086,400;0,4077;2,1313
00:00:00,086,500;0,3882;2,0313
00:00:00,086,600;0,3979;1,9214
00:00:00,086,700;0,3979;1,8115
00:00:00,086,800;0,3979;1,6919
00:00:00,086,900;0,3882;1,5723
00:00:00,087,000;0,3882;1,4746
00:00:00,087,100;0,3784;1,3354
00:00:00,087,200;0,3979;1,2158
00:00:00,087,300;0,3882;1,106
00:00:00,087,400;0,3882;0,9766
00:00:00,087,500;0,3687;0,8667
00:00:00,087,600;0,3882;0,7471
00:00:00,087,700;0,4175;0,6274
00:00:00,087,800;0,3979;0,5176
00:00:00,087,900;0,3882;0,3687
00:00:00,088,000;0,3784;0,2686
00:00:00,088,100;0,4077;0,1196
00:00:00,088,200;0,4395;0,0195
00:00:00,088,300;0,4077;-0,1099
00:00:00,088,400;0,4297;-0,2075
00:00:00,088,500;0,4077;-0,3467
00:00:00,088,600;0,4175;-0,4468
00:00:00,088,700;0,4297;-0,5762
00:00:00,088,800;0,4175;-0,6567
00:00:00,088,900;0,4175;-0,7764
00:00:00,089,000;0,4175;-0,8862
00:00:00,089,100;0,3198;-0,9839
00:00:00,089,200;0,2686;-1,1035
00:00:00,089,300;0,1001;-1,1938
00:00:00,089,400;0,0708;-1,2842
00:00:00,089,500;0,0293;-1,3818
00:00:00,089,600;0,0098;-1,4624
00:00:00,089,700;-0,0293;-1,543
00:00:00,089,800;-0,0586;-1,5918
00:00:00,089,900;-0,0586;-1,6626
00:00:00,090,000;-0,1001;-1,7212
00:00:00,090,100;-0,1099;-1,792
00:00:00,090,200;-0,1392;-1,8311
00:00:00,090,300;-0,1294;-1,9116
00:00:00,090,400;-0,1685;-1,9604
00:00:00,090,500;-0,1978;-2,019
00:00:00,090,600;-0,2075;-2,0801
00:00:00,090,700;-0,2588;-2,1387
00:00:00,090,800;-0,2588;-2,1899
00:00:00,090,900;-0,2686;-2,2583
00:00:00,091,000;-0,2783;-2,3096
00:00:00,091,100;-0,3076;-2,3682
00:00:00,091,200;-0,3076;-2,4194
00:00:00,091,300;-0,3589;-2,4878
00:00:00,091,400;-0,3589;-2,5269
00:00:00,091,500;-0,3687;-2,5879
00:00:00,091,600;-0,3979;-2,6367
00:00:00,091,700;-0,3882;-2,7173
00:00:00,091,800;-0,4175;-2,7661
00:00:00,091,900;-0,4272;-2,8369
00:00:00,092,000;-0,4272;-2,876
00:00:00,092,100;-0,4272;-2,915
00:00:00,092,200;-0,4468;-2,9663
00:00:00,092,300;-0,4468;-3,0249
00:00:00,092,400;-0,437;-3,0762
00:00:00,092,500;-0,4272;-3,1348
00:00:00,092,600;-0,437;-3,1958
00:00:00,092,700;-0,4272;-3,2446
00:00:00,092,800;-0,4272;-3,2935
00:00:00,092,900;-0,4565;-3,3447
00:00:00,093,000;-0,4175;-3,4131
00:00:00,093,100;-0,4175;-3,4546
00:00:00,093,200;-0,3882;-3,5034
00:00:00,093,300;-0,4175;-3,584
00:00:00,093,400;-0,3784;-3,5938
00:00:00,093,500;-0,3979;-3,6426
00:00:00,093,600;-0,3882;-3,6621
00:00:00,093,700;-0,3784;-3,7012
00:00:00,093,800;-0,3687;-3,7231
00:00:00,093,900;-0,3687;-3,7427
00:00:00,094,000;-0,3784;-3,7817
00:00:00,094,100;-0,3467;-3,7817
00:00:00,094,200;-0,3687;-3,7622
00:00:00,094,300;-0,3467;-3,772
00:00:00,094,400;-0,3467;-3,7817
00:00:00,094,500;-0,3687;-3,7524
00:00:00,094,600;-0,3369;-3,7329
00:00:00,094,700;-0,3589;-3,6621
00:00:00,094,800;-0,3369;-3,5718
00:00:00,094,900;-0,3271;-3,5132
00:00:00,095,000;-0,3174;-3,4326
00:00:00,095,100;-0,3271;-3,3643
00:00:00,095,200;-0,3174;-3,2935
00:00:00,095,300;-0,3369;-3,1958
00:00:00,095,400;-0,3369;-3,1055
00:00:00,095,500;-0,3589;-3,0151
00:00:00,095,600;-0,3467;-2,9053
00:00:00,095,700;-0,3589;-2,8271
00:00:00,095,800;-0,3687;-2,7271
00:00:00,095,900;-0,3687;-2,6465
00:00:00,096,000;-0,3882;-2,5366
00:00:00,096,100;-0,3687;-2,4487
00:00:00,096,200;-0,3882;-2,3486
00:00:00,096,300;-0,3979;-2,2485
00:00:00,096,400;-0,3882;-2,1484
00:00:00,096,500;-0,3979;-2,0605
00:00:00,096,600;-0,4077;-1,9214
00:00:00,096,700;-0,3882;-1,8311
00:00:00,096,800;-0,3784;-1,7212
00:00:00,096,900;-0,3979;-1,5918
00:00:00,097,000;-0,3882;-1,4722
00:00:00,097,100;-0,3784;-1,3525
00:00:00,097,200;-0,3784;-1,2427
00:00:00,097,300;-0,3784;-1,1353
00:00:00,097,400;-0,3784;-0,9937
00:00:00,097,500;-0,3784;-0,8765
00:00:00,097,600;-0,3687;-0,7666
00:00:00,097,700;-0,3589;-0,6567
00:00:00,097,800;-0,3467;-0,5078
00:00:00,097,900;-0,3271;-0,4175
00:00:00,098,000;-0,3589;-0,2686
00:00:00,098,100;-0,3369;-0,1587
00:00:00,098,200;-0,3271;-0,0293
00:00:00,098,300;-0,3271;0,0903
00:00:00,098,400;-0,3271;0,21
00:00:00,098,500;-0,3076;0,3296
00:00:00,098,600;-0,2783;0,4492
00:00:00,098,700;-0,2979;0,5591
00:00:00,098,800;-0,2979;0,6665
00:00:00,098,900;-0,2881;0,7666
00:00:00,099,000;-0,2881;0,8862
00:00:00,099,100;-0,1587;0,9863
00:00:00,099,200;-0,1294;1,0864
00:00:00,099,300;0,0098;1,1548
00:00:00,099,400;0,0903;1,2549
00:00:00,099,500;0,1099;1,3354
00:00:00,099,600;0,1489;1,4233
00:00:00,099,700;0,1807;1,4746
00:00:00,099,800;0,21;1,5625
00:00:00,099,900;0,21;1,6431
00:00:00,100,000;0,2393;1,7114
00:00:00,100,100;0,2393;1,7627
00:00:00,100,200;0,2588;1,8408
00:00:00,100,300;0,249;1,9019
00:00:00,100,400;0,2686;1,9604
00:00:00,100,500;0,2881;2,0117
00:00:00,100,600;0,2881;2,0801
00:00:00,100,700;0,3003;2,1411
00:00:00,100,800;0,3491;2,1899
00:00:00,100,900;0,3296;2,251
00:00:00,101,000;0,3198;2,3193
00:00:00,101,100;0,3394;2,3486
00:00:00,101,200;0,3589;2,4097
00:00:00,101,300;0,3394;2,4585
00:00:00,101,400;0,3491;2,5195
00:00:00,101,500;0,3784;2,5684
00:00:00,101,600;0,3784;2,6294
00:00:00,101,700;0,3882;2,6978
00:00:00,101,800;0,4077;2,7686
00:00:00,101,900;0,3882;2,8076
00:00:00,102,000;0,4077;2,8882
00:00:00,102,100;0,4077;2,937
00:00:00,102,200;0,4175;2,9956
00:00:00,102,300;0,4395;3,0371
00:00:00,102,400;0,4395;3,1152
00:00:00,102,500;0,4492;3,1665
00:00:00,102,600;0,4688;3,2056
00:00:00,102,700;0,4688;3,2666
00:00:00,102,800;0,459;3,3154
00:00:00,102,900;0,4883;3,3643
00:00:00,103,000;0,4688;3,4351
00:00:00,103,100;0,459;3,4644
00:00:00,103,200;0,4883;3,5132
00:00:00,103,300;0,4883;3,5547
00:00:00,103,400;0,498;3,6035
00:00:00,103,500;0,498;3,6548
00:00:00,103,600;0,4883;3,6743
00:00:00,103,700;0,498;3,7036
00:00:00,103,800;0,5078;3,7329
00:00:00,103,900;0,4883;3,7427
00:00:00,104,000;0,4883;3,7939
00:00:00,104,100;0,498;3,772
00:00:00,104,200;0,5078;3,7939
00:00:00,104,300;0,5078;3,772
00:00:00,104,400;0,498;3,772
00:00:00,104,500;0,459;3,7427
00:00:00,104,600;0,4785;3,7329
00:00:00,104,700;0,459;3,6133
00:00:00,104,800;0,4883;3,5645
00:00:00,104,900;0,4785;3,4839
00:00:00,105,000;0,5078;3,4253
00:00:00,105,100;0,4785;3,3545
00:00:00,105,200;0,4785;3,2764
00:00:00,105,300;0,4688;3,186
00:00:00,105,400;0,4688;3,0957
00:00:00,105,500;0,4688;2,9956
00:00:00,105,600;0,4492;2,9175
00:00:00,105,700;0,4492;2,8076
00:00:00,105,800;0,4297;2,7271
00:00:00,105,900;0,4492;2,6196
00:00:00,106,000;0,4175;2,5293
00:00:00,106,100;0,4175;2,4292
00:00:00,106,200;0,4175;2,3389
00:00:00,106,300;0,3979;2,2314
00:00:00,106,400;0,3979;2,1411
00:00:00,106,500;0,3882;2,0313
00:00:00,106,600;0,3882;1,9312
00:00:00,106,700;0,3979;1,8115
00:00:00,106,800;0,3979;1,7114
00:00:00,106,900;0,3882;1,582
00:00:00,107,000;0,3882;1,4746
00:00:00,107,100;0,3979;1,355
00:00:00,107,200;0,4077;1,2354
00:00:00,107,300;0,3784;1,0962
00:00:00,107,400;0,3882;1,0059
00:00:00,107,500;0,3882;0,8374
00:00:00,107,600;0,3979;0,7471
00:00:00,107,700;0,4077;0,6274
00:00:00,107,800;0,4297;0,5078
00:00:00,107,900;0,4077;0,3882
00:00:00,108,000;0,3784;0,2588
00:00:00,108,100;0,4077;0,1489
00:00:00,108,200;0,4175;0,0293
00:00:00,108,300;0,4077;-0,1001
00:00:00,108,400;0,4077;-0,2075
00:00:00,108,500;0,4175;-0,3271
00:00:00,108,600;0,4297;-0,4468
00:00:00,108,700;0,4297;-0,5664
00:00:00,108,800;0,4395;-0,6665
00:00:00,108,900;0,4492;-0,7764
00:00:00,109,000;0,4297;-0,8862
00:00:00,109,100;0,3101;-0,9937
00:00:00,109,200;0,2783;-1,1133
00:00:00,109,300;0,1196;-1,1938
00:00:00,109,400;0,0513;-1,3037
00:00:00,109,500;0,0195;-1,3721
00:00:00,109,600;0;-1,4722
00:00:00,109,700;-0,0098;-1,543
00:00:00,109,800;-0,0488;-1,6016
00:00:00,109,900;-0,0684;-1,6626
00:00:00,110,000;-0,0879;-1,731
00:00:00,110,100;-0,1294;-1,7822
00:00:00,110,200;-0,1392;-1,8408
00:00:00,110,300;-0,1392;-1,9214
00:00:00,110,400;-0,1685;-1,98
00:00:00,110,500;-0,2173;-2,0288
00:00:00,110,600;-0,2075;-2,0801
00:00:00,110,700;-0,2393;-2,1387
00:00:00,110,800;-0,249;-2,1899
00:00:00,110,900;-0,2588;-2,2388
00:00:00,111,000;-0,2686;-2,2998
00:00:00,111,100;-0,3076;-2,3682
00:00:00,111,200;-0,3174;-2,4292
00:00:00,111,300;-0,3467;-2,4683
00:00:00,111,400;-0,3589;-2,5488
00:00:00,111,500;-0,3687;-2,5977
00:00:00,111,600;-0,3882;-2,666
00:00:00,111,700;-0,3979;-2,7173
00:00:00,111,800;-0,3979;-2,7661
00:00:00,111,900;-0,4272;-2,8271
00:00:00,112,000;-0,4272;-2,876
00:00:00,112,100;-0,4175;-2,9248
00:00:00,112,200;-0,4663;-2,9761
00:00:00,112,300;-0,437;-3,0249
00:00:00,112,400;-0,4565;-3,0762
00:00:00,112,500;-0,4565;-3,1348
00:00:00,112,600;-0,4272;-3,1836
00:00:00,112,700;-0,437;-3,2349
00:00:00,112,800;-0,4468;-3,3032
00:00:00,112,900;-0,4468;-3,374
00:00:00,113,000;-0,4175;-3,4033
00:00:00,113,100;-0,4175;-3,4546
