;?????: 0;????? : 1
00:00:00,113,200;-0,4077;-3,5034
00:00:00,113,300;-0,4077;-3,5522
00:00:00,113,400;-0,3979;-3,5938
00:00:00,113,500;-0,3882;-3,623
00:00:00,113,600;-0,3882;-3,6719
00:00:00,113,700;-0,3882;-3,7134
00:00:00,113,800;-0,3589;-3,7134
00:00:00,113,900;-0,3784;-3,7622
00:00:00,114,000;-0,3687;-3,7524
00:00:00,114,100;-0,3467;-3,7915
00:00:00,114,200;-0,3369;-3,772
00:00:00,114,300;-0,3467;-3,772
00:00:00,114,400;-0,3369;-3,772
00:00:00,114,500;-0,3369;-3,772
00:00:00,114,600;-0,3369;-3,7427
00:00:00,114,700;-0,3174;-3,6719
00:00:00,114,800;-0,3369;-3,562
00:00:00,114,900;-0,3369;-3,5132
00:00:00,115,000;-0,3271;-3,4229
00:00:00,115,100;-0,3369;-3,3643
00:00:00,115,200;-0,3271;-3,2837
00:00:00,115,300;-0,3467;-3,2056
00:00:00,115,400;-0,3369;-3,0957
00:00:00,115,500;-0,3687;-3,0151
00:00:00,115,600;-0,3589;-2,915
00:00:00,115,700;-0,3589;-2,8369
00:00:00,115,800;-0,3784;-2,7368
00:00:00,115,900;-0,3589;-2,6367
00:00:00,116,000;-0,3882;-2,5366
00:00:00,116,100;-0,3687;-2,4487
00:00:00,116,200;-0,3979;-2,3389
00:00:00,116,300;-0,3882;-2,2583
00:00:00,116,400;-0,3784;-2,1387
00:00:00,116,500;-0,3979;-2,041
00:00:00,116,600;-0,4077;-1,9312
00:00:00,116,700;-0,3882;-1,8213
00:00:00,116,800;-0,3882;-1,7114
00:00:00,116,900;-0,3882;-1,5918
00:00:00,117,000;-0,3979;-1,4722
00:00:00,117,100;-0,3882;-1,3623
00:00:00,117,200;-0,3687;-1,2427
00:00:00,117,300;-0,3882;-1,1353
00:00:00,117,400;-0,3882;-1,0059
00:00:00,117,500;-0,3687;-0,896
00:00:00,117,600;-0,3589;-0,7568
00:00:00,117,700;-0,3784;-0,6567
00:00:00,117,800;-0,3589;-0,5371
00:00:00,117,900;-0,3687;-0,4175
00:00:00,118,000;-0,3467;-0,2686
00:00:00,118,100;-0,3369;-0,1587
00:00:00,118,200;-0,3271;-0,0488
00:00:00,118,300;-0,2979;0,0513
00:00:00,118,400;-0,3076;0,21
00:00:00,118,500;-0,2783;0,3296
00:00:00,118,600;-0,2979;0,4297
00:00:00,118,700;-0,2979;0,5591
00:00:00,118,800;-0,3174;0,6372
00:00:00,118,900;-0,2783;0,7764
00:00:00,119,000;-0,2783;0,8667
00:00:00,119,100;-0,1782;0,9766
00:00:00,119,200;-0,1099;1,0767
00:00:00,119,300;0,0293;1,1743
00:00:00,119,400;0,0806;1,2549
00:00:00,119,500;0,1294;1,3452
00:00:00,119,600;0,1489;1,4136
00:00:00,119,700;0,1807;1,4746
00:00:00,119,800;0,1904;1,5723
00:00:00,119,900;0,2295;1,6333
00:00:00,120,000;0,2393;1,7017
00:00:00,120,100;0,2588;1,7725
00:00:00,120,200;0,2686;1,8213
00:00:00,120,300;0,2783;1,8823
00:00:00,120,400;0,2881;1,9507
00:00:00,120,500;0,2783;2,0215
00:00:00,120,600;0,3003;2,0801
00:00:00,120,700;0,3101;2,1313
00:00:00,120,800;0,3198;2,1802
00:00:00,120,900;0,3394;2,2314
00:00:00,121,000;0,3394;2,29
00:00:00,121,100;0,3491;2,3389
00:00:00,121,200;0,3491;2,4097
00:00:00,121,300;0,3687;2,4585
00:00:00,121,400;0,3589;2,5098
00:00:00,121,500;0,3784;2,5781
00:00:00,121,600;0,3784;2,6392
00:00:00,121,700;0,3882;2,688
00:00:00,121,800;0,3979;2,7588
00:00:00,121,900;0,4077;2,8076
00:00:00,122,000;0,4175;2,8662
00:00:00,122,100;0,4297;2,9272
00:00:00,122,200;0,4297;2,9761
00:00:00,122,300;0,459;3,0371
00:00:00,122,400;0,459;3,0957
00:00:00,122,500;0,459;3,147
00:00:00,122,600;0,4492;3,2153
00:00:00,122,700;0,4785;3,2544
00:00:00,122,800;0,4883;3,3252
00:00:00,122,900;0,4785;3,374
00:00:00,123,000;0,4688;3,4253
00:00:00,123,100;0,4785;3,4644
00:00:00,123,200;0,498;3,5034
00:00:00,123,300;0,4883;3,5547
00:00:00,123,400;0,4785;3,6035
00:00:00,123,500;0,5176;3,6328
00:00:00,123,600;0,4688;3,6841
00:00:00,123,700;0,5078;3,7134
00:00:00,123,800;0,498;3,7231
00:00:00,123,900;0,5078;3,7524
00:00:00,124,000;0,498;3,772
00:00:00,124,100;0,498;3,7842
00:00:00,124,200;0,4883;3,7842
00:00:00,124,300;0,4785;3,7842
00:00:00,124,400;0,498;3,772
00:00:00,124,500;0,498;3,7524
00:00:00,124,600;0,4785;3,7329
00:00:00,124,700;0,498;3,6426
00:00:00,124,800;0,498;3,5742
00:00:00,124,900;0,4883;3,5034
00:00:00,125,000;0,4785;3,4253
00:00:00,125,100;0,4883;3,3643
00:00:00,125,200;0,459;3,2764
00:00:00,125,300;0,4883;3,1958
00:00:00,125,400;0,4688;3,0957
00:00:00,125,500;0,4785;3,0176
00:00:00,125,600;0,459;2,9175
00:00:00,125,700;0,4297;2,8076
00:00:00,125,800;0,4492;2,7271
00:00:00,125,900;0,4395;2,6196
00:00:00,126,000;0,4395;2,5391
00:00:00,126,100;0,4175;2,439
00:00:00,126,200;0,4175;2,3486
00:00:00,126,300;0,4077;2,2412
00:00:00,126,400;0,3979;2,1606
00:00:00,126,500;0,4077;2,041
00:00:00,126,600;0,4077;1,9214
00:00:00,126,700;0,3979;1,8311
00:00:00,126,800;0,4077;1,7114
00:00:00,126,900;0,3882;1,5942
00:00:00,127,000;0,3882;1,4844
00:00:00,127,100;0,3882;1,3745
00:00:00,127,200;0,3882;1,2354
00:00:00,127,300;0,3687;1,1157
00:00:00,127,400;0,3882;0,9863
00:00:00,127,500;0,3979;0,8862
00:00:00,127,600;0,3979;0,7568
00:00:00,127,700;0,3784;0,6372
00:00:00,127,800;0,3784;0,5176
00:00:00,127,900;0,3882;0,3979
00:00:00,128,000;0,4077;0,2783
00:00:00,128,100;0,3784;0,1587
00:00:00,128,200;0,4297;0,0415
00:00:00,128,300;0,3979;-0,0879
00:00:00,128,400;0,4175;-0,2075
00:00:00,128,500;0,4077;-0,3369
00:00:00,128,600;0,3979;-0,437
00:00:00,128,700;0,4175;-0,5566
00:00:00,128,800;0,4297;-0,6665
00:00:00,128,900;0,4175;-0,7861
00:00:00,129,000;0,4175;-0,8765
00:00:00,129,100;0,3687;-0,9839
00:00:00,129,200;0,2686;-1,0938
00:00:00,129,300;0,0903;-1,1841
00:00:00,129,400;0,061;-1,2842
00:00:00,129,500;0,0195;-1,3721
00:00:00,129,600;0;-1,4624
00:00:00,129,700;-0,0293;-1,543
00:00:00,129,800;-0,0293;-1,582
00:00:00,129,900;-0,0684;-1,6528
00:00:00,130,000;-0,0781;-1,7017
00:00:00,130,100;-0,1196;-1,7822
00:00:00,130,200;-0,1392;-1,8506
00:00:00,130,300;-0,1392;-1,8994
00:00:00,130,400;-0,1587;-1,9604
00:00:00,130,500;-0,1782;-2,0288
00:00:00,130,600;-0,2393;-2,0801
00:00:00,130,700;-0,2393;-2,1289
00:00:00,130,800;-0,2686;-2,1802
00:00:00,130,900;-0,2881;-2,2485
00:00:00,131,000;-0,2979;-2,2998
00:00:00,131,100;-0,3076;-2,3584
00:00:00,131,200;-0,2783;-2,4194
00:00:00,131,300;-0,3467;-2,4878
00:00:00,131,400;-0,3369;-2,5171
00:00:00,131,500;-0,3687;-2,5879
00:00:00,131,600;-0,4077;-2,6563
00:00:00,131,700;-0,4077;-2,6978
00:00:00,131,800;-0,4175;-2,7856
00:00:00,131,900;-0,4272;-2,8174
00:00:00,132,000;-0,437;-2,8662
00:00:00,132,100;-0,437;-2,915
00:00:00,132,200;-0,437;-2,9761
00:00:00,132,300;-0,4565;-3,0151
00:00:00,132,400;-0,4272;-3,0762
00:00:00,132,500;-0,437;-3,1348
00:00:00,132,600;-0,4468;-3,1836
00:00:00,132,700;-0,4272;-3,2446
00:00:00,132,800;-0,4077;-3,2935
00:00:00,132,900;-0,4272;-3,3447
00:00:00,133,000;-0,437;-3,3936
00:00:00,133,100;-0,4175;-3,4644
00:00:00,133,200;-0,4175;-3,5034
00:00:00,133,300;-0,3979;-3,5522
00:00:00,133,400;-0,3784;-3,5938
00:00:00,133,500;-0,3784;-3,6328
00:00:00,133,600;-0,3882;-3,6621
00:00:00,133,700;-0,3784;-3,7134
00:00:00,133,800;-0,3687;-3,7231
00:00:00,133,900;-0,3467;-3,7524
00:00:00,134,000;-0,3589;-3,7622
00:00:00,134,100;-0,3589;-3,7817
00:00:00,134,200;-0,3467;-3,772
00:00:00,134,300;-0,3589;-3,772
00:00:00,134,400;-0,3467;-3,7622
00:00:00,134,500;-0,3467;-3,772
00:00:00,134,600;-0,3687;-3,7329
00:00:00,134,700;-0,3467;-3,6719
00:00:00,134,800;-0,3271;-3,5718
00:00:00,134,900;-0,3271;-3,4937
00:00:00,135,000;-0,3174;-3,4424
00:00:00,135,100;-0,3271;-3,374
00:00:00,135,200;-0,3369;-3,3032
00:00:00,135,300;-0,3589;-3,2056
00:00:00,135,400;-0,3784;-3,1055
00:00:00,135,500;-0,3687;-3,0249
00:00:00,135,600;-0,3589;-2,9248
00:00:00,135,700;-0,3784;-2,8467
00:00:00,135,800;-0,3589;-2,7466
00:00:00,135,900;-0,3589;-2,627
00:00:00,136,000;-0,3784;-2,5586
00:00:00,136,100;-0,3882;-2,4683
00:00:00,136,200;-0,3687;-2,3682
00:00:00,136,300;-0,3979;-2,2681
00:00:00,136,400;-0,3687;-2,1387
00:00:00,136,500;-0,4077;-2,0508
00:00:00,136,600;-0,3979;-1,9409
00:00:00,136,700;-0,3882;-1,8408
00:00:00,136,800;-0,4077;-1,7212
00:00:00,136,900;-0,4077;-1,6113
00:00:00,137,000;-0,4077;-1,5015
00:00:00,137,100;-0,3979;-1,3721
00:00:00,137,200;-0,3882;-1,2646
00:00:00,137,300;-0,3882;-1,145
00:00:00,137,400;-0,3687;-1,0254
00:00:00,137,500;-0,3882;-0,8862
00:00:00,137,600;-0,3589;-0,7861
00:00:00,137,700;-0,3687;-0,6665
00:00:00,137,800;-0,3687;-0,5176
00:00:00,137,900;-0,3467;-0,4175
00:00:00,138,000;-0,3687;-0,2881
00:00:00,138,100;-0,3271;-0,1782
00:00:00,138,200;-0,3271;-0,0391
00:00:00,138,300;-0,3174;0,061
00:00:00,138,400;-0,2979;0,2002
00:00:00,138,500;-0,3174;0,3003
00:00:00,138,600;-0,3076;0,4395
00:00:00,138,700;-0,2979;0,5273
00:00:00,138,800;-0,2686;0,6567
00:00:00,138,900;-0,2881;0,7666
00:00:00,139,000;-0,2783;0,8667
00:00:00,139,100;-0,1782;0,9766
00:00:00,139,200;-0,1294;1,0767
00:00:00,139,300;0,0098;1,1646
00:00:00,139,400;0,061;1,2451
00:00:00,139,500;0,1099;1,3354
00:00:00,139,600;0,1392;1,4136
00:00:00,139,700;0,21;1,4844
00:00:00,139,800;0,2002;1,5625
00:00:00,139,900;0,2295;1,6333
00:00:00,140,000;0,249;1,7017
00:00:00,140,100;0,2588;1,7627
00:00:00,140,200;0,2588;1,8213
00:00:00,140,300;0,2783;1,8726
00:00:00,140,400;0,2783;1,9507
00:00:00,140,500;0,3003;2,0117
00:00:00,140,600;0,3003;2,0605
00:00:00,140,700;0,3101;2,1313
00:00:00,140,800;0,3198;2,1899
00:00:00,140,900;0,3296;2,2412
00:00:00,141,000;0,3198;2,2998
00:00:00,141,100;0,3394;2,3389
00:00:00,141,200;0,3394;2,3804
00:00:00,141,300;0,3491;2,4487
00:00:00,141,400;0,3491;2,5
00:00:00,141,500;0,3882;2,5586
00:00:00,141,600;0,3687;2,6196
00:00:00,141,700;0,3882;2,6685
00:00:00,141,800;0,3979;2,7588
00:00:00,141,900;0,3979;2,8076
00:00:00,142,000;0,4175;2,8662
00:00:00,142,100;0,4175;2,9175
00:00:00,142,200;0,4395;2,9761
00:00:00,142,300;0,4395;3,0273
00:00:00,142,400;0,4297;3,0957
00:00:00,142,500;0,4395;3,147
00:00:00,142,600;0,4688;3,1958
00:00:00,142,700;0,4492;3,2544
00:00:00,142,800;0,4688;3,3154
00:00:00,142,900;0,459;3,3643
00:00:00,143,000;0,4688;3,4155
00:00:00,143,100;0,4785;3,4644
00:00:00,143,200;0,459;3,5034
00:00:00,143,300;0,4883;3,5547
00:00:00,143,400;0,4688;3,5938
00:00:00,143,500;0,4785;3,6328
00:00:00,143,600;0,4883;3,6841
00:00:00,143,700;0,4883;3,7036
00:00:00,143,800;0,5078;3,7329
00:00:00,143,900;0,498;3,7427
00:00:00,144,000;0,498;3,7622
00:00:00,144,100;0,4785;3,772
00:00:00,144,200;0,498;3,7842
00:00:00,144,300;0,498;3,7842
00:00:00,144,400;0,5078;3,772
00:00:00,144,500;0,4883;3,7524
00:00:00,144,600;0,4785;3,7329
00:00:00,144,700;0,4883;3,6426
00:00:00,144,800;0,4883;3,5742
00:00:00,144,900;0,498;3,5034
00:00:00,145,000;0,498;3,4253
00:00:00,145,100;0,4688;3,3447
00:00:00,145,200;0,4785;3,2764
00:00:00,145,300;0,459;3,1958
00:00:00,145,400;0,4492;3,1055
00:00:00,145,500;0,4492;3,0273
00:00:00,145,600;0,459;2,9272
00:00:00,145,700;0,4492;2,8271
00:00:00,145,800;0,4395;2,7271
00:00:00,145,900;0,4297;2,6294
00:00:00,146,000;0,4297;2,5391
00:00:00,146,100;0,4297;2,4487
00:00:00,146,200;0,4175;2,3608
00:00:00,146,300;0,3979;2,2412
00:00:00,146,400;0,4077;2,1509
00:00:00,146,500;0,3882;2,041
00:00:00,146,600;0,4077;1,9507
00:00:00,146,700;0,3784;1,8213
00:00:00,146,800;0,3979;1,7236
00:00:00,146,900;0,3979;1,6138
00:00:00,147,000;0,3882;1,4746
00:00:00,147,100;0,3882;1,3647
00:00:00,147,200;0,3784;1,2646
00:00:00,147,300;0,3784;1,1157
00:00:00,147,400;0,3882;0,9961
00:00:00,147,500;0,3882;0,8765
00:00:00,147,600;0,3784;0,7764
00:00:00,147,700;0,3784;0,647
00:00:00,147,800;0,3784;0,5273
00:00:00,147,900;0,4175;0,4077
00:00:00,148,000;0,4077;0,2881
00:00:00,148,100;0,4077;0,1709
00:00:00,148,200;0,4077;0,0513
00:00:00,148,300;0,4175;-0,0684
00:00:00,148,400;0,4077;-0,1978
00:00:00,148,500;0,4175;-0,3174
00:00:00,148,600;0,4297;-0,437
00:00:00,148,700;0,4297;-0,5371
00:00:00,148,800;0,4297;-0,6567
00:00:00,148,900;0,4175;-0,7666
00:00:00,149,000;0,459;-0,8765
00:00:00,149,100;0,3784;-0,9839
00:00:00,149,200;0,2783;-1,0742
00:00:00,149,300;0,1099;-1,1841
00:00:00,149,400;0,0513;-1,2842
00:00:00,149,500;0,0415;-1,3721
00:00:00,149,600;0,0195;-1,4429
00:00:00,149,700;-0,0195;-1,5234
00:00:00,149,800;-0,0391;-1,582
00:00:00,149,900;-0,0488;-1,6528
00:00:00,150,000;-0,1001;-1,7212
00:00:00,150,100;-0,0879;-1,7822
00:00:00,150,200;-0,1294;-1,8311
00:00:00,150,300;-0,1685;-1,8896
00:00:00,150,400;-0,1685;-1,9604
00:00:00,150,500;-0,1978;-2,0288
00:00:00,150,600;-0,2173;-2,0801
00:00:00,150,700;-0,2295;-2,1289
00:00:00,150,800;-0,2686;-2,1802
00:00:00,150,900;-0,2783;-2,2485
00:00:00,151,000;-0,3174;-2,2998
00:00:00,151,100;-0,3076;-2,3682
00:00:00,151,200;-0,3271;-2,4194
00:00:00,151,300;-0,3369;-2,4683
00:00:00,151,400;-0,3784;-2,5269
00:00:00,151,500;-0,3784;-2,5879
00:00:00,151,600;-0,4077;-2,6465
00:00:00,151,700;-0,4175;-2,7075
00:00:00,151,800;-0,4077;-2,7563
00:00:00,151,900;-0,4272;-2,8271
00:00:00,152,000;-0,4565;-2,876
00:00:00,152,100;-0,437;-2,9053
00:00:00,152,200;-0,4468;-2,9663
00:00:00,152,300;-0,4565;-3,0249
00:00:00,152,400;-0,4468;-3,0664
00:00:00,152,500;-0,4663;-3,125
00:00:00,152,600;-0,4468;-3,1738
00:00:00,152,700;-0,4272;-3,2446
00:00:00,152,800;-0,437;-3,3032
00:00:00,152,900;-0,437;-3,3545
00:00:00,153,000;-0,4272;-3,3936
00:00:00,153,100;-0,437;-3,4546
00:00:00,153,200;-0,3979;-3,5034
00:00:00,153,300;-0,4077;-3,5522
00:00:00,153,400;-0,3882;-3,6035
00:00:00,153,500;-0,3784;-3,623
00:00:00,153,600;-0,3687;-3,6719
00:00:00,153,700;-0,3784;-3,6914
00:00:00,153,800;-0,3687;-3,7134
00:00:00,153,900;-0,3589;-3,7622
00:00:00,154,000;-0,3687;-3,7524
00:00:00,154,100;-0,3687;-3,772
00:00:00,154,200;-0,3589;-3,7817
00:00:00,154,300;-0,3369;-3,772
00:00:00,154,400;-0,3589;-3,7622
00:00:00,154,500;-0,3589;-3,7524
00:00:00,154,600;-0,3467;-3,7329
00:00:00,154,700;-0,3589;-3,6719
00:00:00,154,800;-0,3589;-3,584
00:00:00,154,900;-0,3271;-3,5034
00:00:00,155,000;-0,3467;-3,4424
00:00:00,155,100;-0,3369;-3,3545
00:00:00,155,200;-0,3369;-3,2935
00:00:00,155,300;-0,3589;-3,2153
00:00:00,155,400;-0,3589;-3,1152
00:00:00,155,500;-0,3589;-3,0249
00:00:00,155,600;-0,3979;-2,937
00:00:00,155,700;-0,3687;-2,8467
00:00:00,155,800;-0,3589;-2,7368
00:00:00,155,900;-0,3687;-2,6563
00:00:00,156,000;-0,3882;-2,5488
00:00:00,156,100;-0,3589;-2,4585
00:00:00,156,200;-0,3784;-2,3682
00:00:00,156,300;-0,3979;-2,2681
00:00:00,156,400;-0,3979;-2,1704
00:00:00,156,500;-0,3979;-2,0605
00:00:00,156,600;-0,3979;-1,9409
00:00:00,156,700;-0,3784;-1,8408
00:00:00,156,800;-0,4175;-1,7407
00:00:00,156,900;-0,4272;-1,6309
00:00:00,157,000;-0,3979;-1,4819
00:00:00,157,100;-0,3882;-1,3818
00:00:00,157,200;-0,4175;-1,2744
00:00:00,157,300;-0,3882;-1,123
00:00:00,157,400;-0,3979;-1,0352
00:00:00,157,500;-0,3687;-0,9058
00:00:00,157,600;-0,3687;-0,7959
00:00:00,157,700;-0,3467;-0,6665
00:00:00,157,800;-0,3589;-0,5469
00:00:00,157,900;-0,3369;-0,4077
00:00:00,158,000;-0,3589;-0,2979
00:00:00,158,100;-0,3467;-0,1782
00:00:00,158,200;-0,3271;-0,0488
00:00:00,158,300;-0,3174;0,061
00:00:00,158,400;-0,3174;0,1904
00:00:00,158,500;-0,3076;0,2783
00:00:00,158,600;-0,3174;0,4175
00:00:00,158,700;-0,2979;0,5371
00:00:00,158,800;-0,3174;0,6372
00:00:00,158,900;-0,2686;0,7471
00:00:00,159,000;-0,2979;0,8569
00:00:00,159,100;-0,2173;0,957
00:00:00,159,200;-0,1294;1,0645
00:00:00,159,300;0,0195;1,1548
00:00:00,159,400;0,061;1,2451
00:00:00,159,500;0,1099;1,3354
00:00:00,159,600;0,1587;1,4038
00:00:00,159,700;0,1709;1,4941
00:00:00,159,800;0,1904;1,5527
00:00:00,159,900;0,2393;1,6138
00:00:00,160,000;0,249;1,7017
00:00:00,160,100;0,2393;1,7627
00:00:00,160,200;0,2588;1,8213
00:00:00,160,300;0,2783;1,9019
00:00:00,160,400;0,2881;1,9409
00:00:00,160,500;0,3003;2,0117
00:00:00,160,600;0,3003;2,041
00:00:00,160,700;0,3003;2,1313
00:00:00,160,800;0,3101;2,1704
00:00:00,160,900;0,3296;2,2192
00:00:00,161,000;0,3101;2,2803
00:00:00,161,100;0,3296;2,3389
00:00:00,161,200;0,3394;2,3999
00:00:00,161,300;0,3589;2,4487
00:00:00,161,400;0,3491;2,5
00:00:00,161,500;0,3784;2,5586
00:00:00,161,600;0,3687;2,6074
00:00:00,161,700;0,3882;2,6685
00:00:00,161,800;0,3979;2,7368
00:00:00,161,900;0,3882;2,8076
00:00:00,162,000;0,4077;2,8467
00:00:00,162,100;0,4175;2,9077
00:00:00,162,200;0,4175;2,9761
00:00:00,162,300;0,4395;3,0273
00:00:00,162,400;0,459;3,0762
00:00:00,162,500;0,4395;3,1567
00:00:00,162,600;0,459;3,1958
00:00:00,162,700;0,459;3,2666
00:00:00,162,800;0,4492;3,3057
00:00:00,162,900;0,4785;3,374
00:00:00,163,000;0,4688;3,4351
00:00:00,163,100;0,4883;3,4741
00:00:00,163,200;0,4883;3,5132
00:00:00,163,300;0,4883;3,5547
00:00:00,163,400;0,5078;3,5938
00:00:00,163,500;0,498;3,6426
00:00:00,163,600;0,4883;3,6841
00:00:00,163,700;0,4883;3,7036
00:00:00,163,800;0,498;3,7427
00:00:00,163,900;0,5078;3,7622
00:00:00,164,000;0,5078;3,7622
00:00:00,164,100;0,498;3,772
00:00:00,164,200;0,498;3,772
00:00:00,164,300;0,5078;3,7842
00:00:00,164,400;0,4883;3,772
00:00:00,164,500;0,5078;3,7622
00:00:00,164,600;0,498;3,7231
00:00:00,164,700;0,4785;3,6646
00:00:00,164,800;0,4883;3,5742
00:00:00,164,900;0,4688;3,4937
00:00:00,165,000;0,4785;3,4253
00:00:00,165,100;0,4688;3,3545
00:00:00,165,200;0,4395;3,2959
00:00:00,165,300;0,4688;3,1958
00:00:00,165,400;0,459;3,1055
00:00:00,165,500;0,4492;3,0371
00:00:00,165,600;0,459;2,9077
00:00:00,165,700;0,4492;2,8271
00:00:00,165,800;0,4395;2,7368
00:00:00,165,900;0,459;2,6392
00:00:00,166,000;0,4395;2,5488
00:00:00,166,100;0,4175;2,4487
00:00:00,166,200;0,3882;2,3608
00:00:00,166,300;0,3979;2,2607
00:00:00,166,400;0,4175;2,1606
00:00:00,166,500;0,3784;2,041
00:00:00,166,600;0,3784;1,9409
00:00:00,166,700;0,3784;1,853
00:00:00,166,800;0,3784;1,7236
00:00:00,166,900;0,3687;1,604
00:00:00,167,000;0,3687;1,4844
00:00:00,167,100;0,3784;1,3745
00:00:00,167,200;0,3784;1,2549
00:00:00,167,300;0,3882;1,1157
00:00:00,167,400;0,4077;1,0254
00:00:00,167,500;0,3784;0,896
00:00:00,167,600;0,3882;0,7764
00:00:00,167,700;0,3882;0,6372
00:00:00,167,800;0,4077;0,5273
00:00:00,167,900;0,3979;0,4175
00:00:00,168,000;0,4077;0,3003
00:00:00,168,100;0,4077;0,1587
00:00:00,168,200;0,4077;0,0513
00:00:00,168,300;0,4395;-0,0684
00:00:00,168,400;0,3979;-0,1978
00:00:00,168,500;0,4175;-0,3174
00:00:00,168,600;0,4395;-0,4175
00:00:00,168,700;0,4077;-0,5273
00:00:00,168,800;0,4395;-0,6372
00:00:00,168,900;0,4297;-0,7568
00:00:00,169,000;0,3979;-0,8643
00:00:00,169,100;0,3491;-0,9644
00:00:00,169,200;0,2783;-1,0645
00:00:00,169,300;0,1489;-1,1646
00:00:00,169,400;0,0513;-1,2646
00:00:00,169,500;0,0513;-1,3623
00:00:00,169,600;0,0098;-1,4331
00:00:00,169,700;-0,0293;-1,5112
